N°,TIENDA,Horas Aprobadas,Crecimiento,Atención Deseada
2101,Aeropuerto Terminal 1 internacional,,,
353,PUERTO DEL CARMEN (LANZAROTE),,,
352,TORRE SEVILLA,,,
1121,GRENOBLE GRAND PLACE,,,
1134,CC COLOMBIA RENNES,,,
1142,GRAND QUETIGNY,,,
1143,NANTES BEAULIEU,,,
1151,ROUEN ST SEVER,,,
1152,FORUM DES HALLES,,,
2146,Power Center Tecamac,,,
2147,Portal Centro Boturini,,,
2149,Plaza Central Iztapalapa,,,
2148,Gran Patio Tlaxcala,,,
2152,Plaza las Flores Comitan,,,
850,GESTION SALIDAS ALMACEN A PICKING,,,
2151,Alaia Guanajuato,,,
2153,Patio Texcoco - Isla,,,
7146,ROMA CC CINECITTA 2,,,
7149,AVELLINO CORSO VITTORIO EMANUELE,,,
7151,CC GALLERIA BORROMEA,,,
2131,El Juguete,,,
1156,LYON CARRE DE SOIE,,,
351,CC PARQUE PRINCIPADO,,,
1153,STRASBOURG AUSHOPPING ,,,
354,CC EL TABLERO,,,
2154,Paseo Akia,,,
2155,Downtown Puebla,,,
2157,Plaza Mayor Leon - Isla,,,
2158,Mall Nogales,,,
2159,Aeropuerto AIFA,,,
2132,Leon Campestre,,,
2156,Alaia Tapachula,,,
672,CC ALEGRO SETUBAL,,,
1139,LILLE RUE NEUVE,,,
1161,ST ROMA TOULOUSE,,,
1148,AIX JAS DE BOUFFAN,,,
1157,TOULOUSE LABEGE,,,
1163,BOURGES AVARICUM,,,
349,CC OUTLET SAN VICENTE,,,
1136,LE GALERIE QUIMPER,,,
1155,CENTRE DEUX ST ETIENNE,,,
7147,CC ADIGEO (VERONA),,,
7148,VIA SPARANO DA BARI,,,
1172,ISTRES,,,
1173,FREJUS,,,
1174,VALENCE VICTOR HUGO,,,
1175,VILLARS,,,
7153,VIA FILLUNGO LUCCA,,,
7154,LECCE CC CAVALLINO,,,
7155,ASSAGO CC MILANOFIORI,,,
1154,TOULOUSE GRAMONT,,,
355,PASEO INDEPENDENCIA,,,
2161,Sentura Zamora,,,
7158,CC PESCARA NORD,,,
7156,MANTOVA,,,
7157,PISTOIA VIA CAVOUR,,,
1401,BALTYCKA Gdansk,,,
1701,PROMENADA SHOPPING,,,
1703,VALCEA SHOPPING CENTER,,,
1702,SATU MARE SHOPPING,,,
2162,Galerías Celaya,,,
1158,CHATEAUFARINE BESANCON,,,
4001,CC MALL PLAZA NORTE,,,
4002,MALL VIVO EL CENTRO,,,
4003,CC PLAZA OESTE,,,
4004,CC INDEPENDENCIA,,,
4005,CC COSTANERA,,,
675,STAND MARSHOPPING ALGARVE,,,
676,FAMALICAO,,,
673,ALAMEDA SHOP & SPOT,,,
1159,CLAYE SOULY PROMENADA,,,
1704,PLAZA ROMANIA BUCAREST,,,
674,CC ARENA SHOPPING,,,
357,CC YUMBO LAS PALMAS,,,
356,CC GRAN JONQUERA OUTLET,,,
668,FOZ PLAZA PORTUGAL,,,
359,CC LA MOREA,,,
677,CC NEW LIFE MIRAFLORES,,,
7159,STAND CC CENTRONOVA,,,
7164,MESSINA,,,
7152,PAVIA CORSO CAVOUR,,,
7163,PESARO CC ROSSINI CENTER,,,
7165,VIAREGGIO,,,
2163,Navojoa Plaza de Hierro,,,
7167,MONZA VIA ITALIA,,,
2164,Paseo Altozano,,,
2165,Isla Paseo Altozano,,,
7161,CC NAVE DE VERO MARGUERA,,,
1167,CRETEIL SOLEIL,,,
1402,KASKADA Szczecin,,,
1403,SILESIA Katowice,,,
1404,PROMENADA Warszawa,,,
1405,SERENADA Krakow,,,
7166,PESCARA CORSO UMBERTO,,,
2166,Isla Sendero Toluca,,,
2167,Patio Chalco,,,
9999,STOCK TIENDA ONLINE,,,
4100,Central Chile,,,
7169,SURBO CC MONGOLFIERA,,,
1706,IULIUS MALL SUCEAVA,,,
1168,WITTENHEIM,,,
1171,CAEN BELLIVET,,,
678,SERRA SHOPPING,,,
679,AVEIRO CENTER,,,
1707,BRAILA MALL,,,
1708,CC SHOPPING CITY DEVA,,,
4099,ALMACEN CHILE CEDIS,,,
1406,ZLOTE 1 Warszawa,,,
1407,BLUE CITY Warszawa,,,
1176,LE HAVRE COTY,,,
1711,TIMISOARA SHOPPING CITY,,,
